import adsk.core; app=adsk.core.Application.get(); ui=app.userInterface; print('FUSION_COMMAND_CATALOG_BEGIN'); print(chr(10).join([ui.commandDefinitions.item(i).id+chr(9)+ui.commandDefinitions.item(i).name for i in range(ui.commandDefinitions.count)])); print('FUSION_COMMAND_CATALOG_END') 
FUSION_COMMAND_CATALOG_BEGIN
AlertCommand	Alert
FusionDcEmbossEditCmd	Edit Feature
FusionDcReplaceFaceEditCommand	Edit Features
FusionShellBodyCommand	Shell
ShellManagerCommand	Shell manager
FusionDcShellFeatureEditCommand	Edit Feature 
FusionMoveComponentsCommand	Move
FusionMoveCommand	Move/Copy
FusionDuplicateWithJointsCommand	Duplicate With Joints
FusionDcMoveBodyEditCommand	Edit Feature 
FusionDcMoveCopyEditCommand	Edit Feature 
FusionDcEditInitialPositionCommand	Edit Initial Position 
FusionEditInitialPositionCommand	Edit Initial Position 
FusionDcAlignEditCommand	Edit Feature 
FusionMoveJointsCommand	Drive Joints
AlignComponentsCmd	Align Components
AlignGeometryCmd	Align
AlignCmd	Align
SuppressJointOccurrenceCmd	Suppress
UnsuppressJointOccurrenceCmd	Unsuppress
SuppressGeometricRelationshipOccurrenceCmd	Suppress
UnsuppressGeometricRelationshipOccurrenceCmd	Unsuppress
SuppressConstraintCmd	Suppress Constraint
UnSuppressConstraintCmd	Unsuppress Constraint
SuppressTransitionalRelationshipOccurrenceCmd	Suppress
UnsuppressTransitionalRelationshipOccurrenceCmd	Unsuppress
SuppressRigidGroupCmd	Suppress
UnsuppressRigidGroupCmd	Unsuppress
SuppressMotionRelationshipCmd	Suppress
UnsuppressMotionRelationshipCmd	Unsuppress
ContactSetCmd	New Contact Set
EditContactSetCmd	Edit
SuppressContactSetCmd	Suppress
UnsuppressContactSetCmd	Unsuppress
EnableContactSetsCmd	Enable Contact Sets
EnableAllContactCmd	Enable All Contact
DisableAllContactCmd	Disable Contact
LockJointCmd	Lock Motion
UnlockJointCmd	Unlock Motion
AnimateJointCmd	Animate Joint
AnimateModelCmd	Animate Joint Relationships
RestoreJointCmd	Go to Home Position
FusionMotionStudyCommand	Motion Study
EditMotionStudyCmd	Edit
SelectComponentsCmd	Select Components
SelectJointsByComponentCmd	Select referencing Joints
SelectTransRelComponentsCmd	Select Components
SelectMotionLinkJointsCmd	Select linked Joints
RedefineJointHomeCmd	Set as Home position
FusionDragComponentsCommand	Drag Components
FusionDragCompControlsCmd	Component Drag
FusionShowSelectionPanelCmd	Mesh Palette
FusionDragJointOriginCommand	Drag Joint Origin
FusionGroundComponentsCommand	Pin
FusionUnGroundComponentsCommand	Unpin
GroundToParentCommand	Ground To Parent
UnGroundToParentCommand	Unground From Parent
RigidSubAssemblyCommand	Make Rigid
FusionJointInconsistencyResolverCommand	Joint Inconsistency Resolver
FlexibleSubAssemblyCommand	Make Flexible
FusionUpdateCommand	Update
FusionMultiSelInputTestCmd	SelectionManager
ModifyScale	Scale
CmdPreviewGraphicsTestCommand	CommandPreviewGraphics
InterferenceCheckCommand	Interference
FusionDcScaleEditCommand	Edit Feature 
IsolateCmd	Isolate
UnisolateCmd	Unisolate
UnisolateAllCmd	Unisolate All
SketchCreate	Create Sketch
SketchStop	Finish Sketch
CloseConfig	Close Config
FusionDConfigBlockFromObjectModeCmd	Block From Object Mode
FusionEndDConfigBlockFromObjectModeCmd	End Block From Object Mode
CloseTimlineConfigModePanel	Close TimlineConfigModePanel
SketchActivate	Edit Sketch
ProfileSketchActivate	Edit Profile Sketch
SaveSketchAsDWG	Save Sketch As
DrawPolyline	Line
AutoOrientCmd	Auto Orient
FusionSurfaceThickenCommand	Thicken
FusionDraftCommand	Draft
FusionCombineCommand	Combine
FusionCombineEditCommand	Edit Feature 
FusionSplitBodyCommand	Split Body
FusionDcSplitBodyEditCommand	Edit Feature 
FusionDcPartingLineSplitEditCommand	Edit Feature 
FusionDcSplitFaceEditCommand	Edit Feature 
FusionSplitFaceCommand	Split Face
FusionPartingLineSplitCmd	Silhouette Split
Revolve	Revolve
TextureMappingCommand	Texture Map Controls
FusionRevolveEditCommand	Edit Feature 
FusionSurfaceRevolveEditCommand	Edit Feature 
Sweep	Sweep
FusionSweepEditCommand	Edit Feature 
FusionSurfaceSweepEditCommand	Edit Feature 
SolidLoft	Loft
FusionLoftEditCommand	Edit Feature 
TSplineLoft	Loft
FusionRibCommand	Rib
FusionDcRibEditCommand	Edit Feature 
FusionWebCommand	Web
FusionDcWebEditCommand	Edit Feature 
SurfaceSculpt	Boundary Fill
